"","tf","es","lens","pvals","z","qvals"
"ERCC2","ERCC2",0.380123915737299,8,0.7899,-0.322500805659911,0.844188659793815
"NOTCH3","NOTCH3",0.372939835421675,29,0.8022,-0.844660445323619,0.85439794520548
"POU2F2","POU2F2",0.372808336146177,27,0.8094,-0.863553357678002,0.859124232081911
"FOSL2","FOSL2",0.369710522613761,15,0.8134,-0.709531429554939,0.860433333333333
"POU1F1","POU1F1",0.363946221186538,11,0.8176,-0.547188973953717,0.861944406779661
"RELB","RELB",0.363075511768068,14,0.829,-0.673702560260658,0.86599932885906
"IRF5","IRF5",0.360179898819424,10,0.8297,-0.493569736864075,0.86599932885906
"PITX2","PITX2",0.362338216539506,12,0.8298,-0.584571544816462,0.86599932885906
"TAL1","TAL1",0.351694400069924,11,0.8472,-0.614545755892461,0.881201337792642
"NOTCH2","NOTCH2",0.352853401601275,26,0.8617,-1.08343971576367,0.890327906976744
"NOTCH4","NOTCH4",0.352853401601275,26,0.8617,-1.08343971576367,0.890327906976744
"NPM1","NPM1",0.321734229282816,11,0.8903,-0.742906117987277,0.915448514851485
"ESPL1","ESPL1",0.315586696803005,9,0.8919,-0.657888356100752,0.915448514851485
"GATA4","GATA4",0.33475834796416,23,0.8999,-1.20099914077277,0.920621381578947
"HOXA9","HOXA9",0.289386869388047,10,0.9236,-0.876507208580477,0.941769180327869
"NR5A2","NR5A2",0.266260044770399,12,0.9546,-1.20990227152444,0.970198039215686
"IRF4","IRF4",-0.237446091310167,10,0.9605,-3.44107095276195,0.973014657980456
"NEUROG3","NEUROG3",-0.330986962772022,10,0.9874,-4.13264653153186,0.996403870967742
"NR2F1","NR2F1",-0.411916327946862,9,0.99,-3.84860970059026,0.996403870967742
"IRF7","IRF7",0.236319059034353,27,0.9932,-2.40146274311039,0.996403870967742
"SATB1","SATB1",-0.332457358191194,15,0.9979,-5.93098004452548,0.9979
